 framenumber,eulers.phi, eulers.theta, eulers.psi, euler_rates.phi_dot, euler_rates.theta_dot, euler_rates.psi_dot, rates.X, rates.Y, rates.Z, accels.X, accels.Y, accels.Z,sin
845,-0.046569,-0.130398,0.266888,0.0446575,0.0168073,0.0180956,0.0470104,0.0159538,0.0187049,0.0969713,-0.0151644,0.969471,-0.778047797
846,-0.0460809,-0.130332,0.267083,0.0481311,0.00656924,0.0192065,0.0506273,0.00568503,0.019326,0.0923721,-0.0157742,0.948194,-0.787953829
847,-0.0455915,-0.130237,0.26728,0.0493073,0.00952397,0.0198461,0.0518847,0.00861724,0.0200916,0.0931438,-0.0145894,0.951027,-0.797659997
848,-0.0451037,-0.130208,0.267484,0.0486327,0.00290194,0.0203868,0.0512797,0.00198756,0.0203245,0.100723,-0.0197531,0.953489,-0.80716384
849,-0.0446364,-0.130224,0.267701,0.0457522,-0.00163805,0.0212009,0.0485053,-0.00257442,0.0209273,0.0830442,-0.0237844,0.959115,-0.816462946
850,-0.044224,-0.130208,0.267907,0.0418442,0.00163766,0.0209062,0.0445587,0.000719627,0.0207814,0.088912,-0.0229483,0.968473,-0.825554957
851,-0.0438456,-0.13004,0.268119,0.0376158,0.016667,0.0211156,0.040354,0.0157333,0.0216477,0.0957081,-0.0216826,0.980117,-0.834437567
852,-0.0434414,-0.129922,0.268322,0.0403041,0.0118318,0.0202031,0.0429216,0.0109507,0.0205277,0.0903974,-0.0142583,0.97113,-0.843108522
853,-0.0429978,-0.129885,0.268527,0.0442647,0.00363112,0.0204753,0.0469166,0.00275505,0.0204402,0.0897704,-0.0128583,0.941103,-0.851565623
854,-0.0425342,-0.129751,0.26874,0.0458802,0.0132603,0.0210869,0.0486086,0.0123592,0.0214546,0.0906944,-0.0130409,0.95884,-0.859806726
855,-0.0420148,-0.129685,0.268957,0.0517088,0.00656501,0.0216583,0.0545097,0.00565716,0.0217332,0.0886155,-0.013002,0.953213,-0.867829739
856,-0.0415053,-0.129648,0.269162,0.0507787,0.00362983,0.0204076,0.0534171,0.00278703,0.0203695,0.0870855,-0.0123102,0.959787,-0.875632628
857,-0.0410254,-0.129514,0.26936,0.0478325,0.0134228,0.019694,0.050376,0.0126106,0.0200631,0.0943953,-0.0228923,0.973425,-0.883213413
